,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
18747,3332000615,10/20/2014,310000.0,3,1.0,1330,3740,1.5,NO,NONE,Average,6 Low Average,1330,0.0,1903,,98118,47.5502,-122.274,1330,5053
18748,3332000615,4/22/2015,389000.0,3,1.0,1330,3740,1.5,,NONE,Average,6 Low Average,1330,0.0,1903,0.0,98118,47.5502,-122.274,1330,5053
18976,7856400300,7/2/2014,1410000.0,2,2.5,3180,9400,2.0,NO,EXCELLENT,Very Good,10 Very Good,2610,570.0,1985,0.0,98006,47.5617,-122.158,3760,9450
18977,7856400300,3/22/2015,1510000.0,2,2.5,3180,9400,2.0,NO,EXCELLENT,Very Good,10 Very Good,2610,570.0,1985,0.0,98006,47.5617,-122.158,3760,9450
19194,1901600090,6/26/2014,359000.0,5,1.75,1940,6654,1.5,NO,NONE,Good,7 Average,1940,0.0,1953,0.0,98166,47.4663,-122.359,2300,9500
19195,1901600090,4/26/2015,390000.0,5,1.75,1940,6654,1.5,,NONE,Good,7 Average,1940,0.0,1953,0.0,98166,47.4663,-122.359,2300,9500
19320,6021500970,5/28/2014,345000.0,2,1.0,1080,4000,1.0,NO,NONE,Average,7 Average,1080,0.0,1940,0.0,98117,47.6902,-122.387,1530,4240
19321,6021500970,4/7/2015,874950.0,2,1.0,1080,4000,1.0,NO,NONE,Average,7 Average,1080,?,1940,,98117,47.6902,-122.387,1530,4240
19536,643300040,11/4/2014,481000.0,4,1.75,1920,9500,1.0,NO,NONE,Good,7 Average,1470,450.0,1966,0.0,98006,47.5683,-122.177,1820,10091
19537,643300040,3/13/2015,719521.0,4,1.75,1920,9500,1.0,NO,NONE,Good,7 Average,1470,450.0,1966,0.0,98006,47.5683,-122.177,1820,10091
20037,8648900110,5/5/2014,555000.0,3,2.5,1940,3211,2.0,NO,NONE,Average,8 Good,1940,0.0,2009,0.0,98027,47.5644,-122.093,1880,3078
20038,8648900110,8/26/2014,555000.0,3,2.5,1940,3211,2.0,NO,NONE,Average,8 Good,1940,0.0,2009,0.0,98027,47.5644,-122.093,1880,3078
20164,7853400250,6/4/2014,610000.0,4,3.5,2910,5260,2.0,NO,NONE,Average,9 Better,2910,0.0,2012,0.0,98065,47.5168,-121.883,2910,5260
20165,7853400250,2/19/2015,645000.0,4,3.5,2910,5260,2.0,NO,NONE,Average,9 Better,2910,0.0,2012,0.0,98065,47.5168,-121.883,2910,5260
20596,2724049222,8/2/2014,163800.0,2,2.5,1000,1092,2.0,,NONE,Average,7 Average,990,10.0,2004,0.0,98118,47.5419,-122.271,1330,1466
20597,2724049222,12/1/2014,220000.0,2,2.5,1000,1092,2.0,NO,NONE,Average,7 Average,990,10.0,2004,0.0,98118,47.5419,-122.271,1330,1466
20653,8564860270,7/8/2014,449990.0,4,2.5,2680,5539,2.0,NO,NONE,Average,8 Good,2680,0.0,2013,0.0,98045,47.4759,-121.734,2680,5992
20654,8564860270,3/30/2015,502000.0,4,2.5,2680,5539,2.0,,NONE,Average,8 Good,2680,0.0,2013,0.0,98045,47.4759,-121.734,2680,5992
20763,6300000226,6/26/2014,240000.0,4,1.0,1200,2171,1.5,NO,NONE,Average,7 Average,1200,0.0,1933,0.0,98133,47.7076,-122.342,1130,1598
20764,6300000226,5/4/2015,380000.0,4,1.0,1200,2171,1.5,NO,NONE,Average,7 Average,1200,0.0,1933,0.0,98133,47.7076,-122.342,1130,1598
21564,7853420110,10/3/2014,594866.0,3,3.0,2780,6000,2.0,NO,NONE,Average,9 Better,2780,0.0,2013,0.0,98065,47.5184,-121.886,2850,6000
21565,7853420110,5/4/2015,625000.0,3,3.0,2780,6000,2.0,NO,NONE,Average,9 Better,2780,0.0,2013,,98065,47.5184,-121.886,2850,6000
